chembl_id,name,smiles,max_phase,formula,chembl_mw
CHEMBL437,SULFATHIAZOLE,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,4.0,C9H9N3O2S2,255.32
CHEMBL7679,PONALRESTAT,O=C(O)Cc1nn(Cc2ccc(Br)cc2F)c(=O)c2ccccc12,2.0,C17H12BrFN2O3,391.20
CHEMBL438,SULFAMERAZINE,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,4.0,C11H12N4O2S,264.31
CHEMBL439,SULFADIAZINE,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,4.0,C10H10N4O2S,250.28
CHEMBL440,THIAMYLAL,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,4.0,C12H18N2O2S,254.35
CHEMBL441,THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,4.0,C11H18N2O2S,242.34
CHEMBL268164,CYCLOBARBITAL,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,4.0,C12H16N2O3,236.27
CHEMBL442,ERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,4.0,C33H35N5O5,581.67
CHEMBL38,TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,4.0,C20H28O2,300.44
CHEMBL39,SEROTONIN,NCCc1c[nH]c2ccc(O)cc12,3.0,C10H12N2O,176.22
CHEMBL7413,METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.0,C14H18N2O3,262.31
CHEMBL40,PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4.0,C12H12N2O3,232.24
CHEMBL41,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.0,C17H18F3NO,309.33
CHEMBL7257,MEBUFOTENIN,COc1ccc2[nH]cc(CCN(C)C)c2c1,2.0,C13H18N2O,218.30
CHEMBL443,SULFAMETHOXAZOLE,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,4.0,C10H11N3O3S,253.28
